consolidated_latitude,consolidated_longitude,cluster
43.188264,6.581388,1
43.188264,6.581388,1
43.207009,6.5687,1
43.207009,6.5687,1
43.443935,6.706553,1
43.506724,6.288539,1
43.507107,6.287387,1
43.630412,6.220846,1
43.716842,6.134104,1
43.55785,6.00512,1
43.55785,6.00512,1
43.582001,6.273156,1
43.160329,6.464987,1
43.601814,6.561403,1
43.77609,6.64371,1
43.268741,6.643206,1
43.268741,6.643206,1
43.272524,6.636581,1
43.267933,6.640579,1
43.93032,4.84218,1
43.932675,4.835263,1
43.932675,4.835263,1
43.93381,4.835016,1
43.93381,4.835016,1
43.93466,4.836255,1
43.934197,4.838154,1
43.934998,4.871245,1
43.934998,4.871245,1
43.909877,4.892364,1
43.909877,4.892364,1
43.762313,5.363792,1
43.763965,5.366592,1
43.763965,5.366592,1
43.758861,5.342482,1
43.765442,5.364008,1
43.765442,5.364008,1
43.7788,5.41686,1
43.736037,5.3754,1
43.871568,5.147521,1
43.871568,5.147521,1
43.764523,5.584226,1
43.979318,4.907248,1
43.986445,4.896984,1
43.835589,5.089933,1
43.836565,5.042062,1
